Country,Sex,2013,"2013,"
Algeria,Female,5544,"5544,"
Algeria,Male,6565,"6565,"
Angola,Female,454,"454,"
Angola,Male,456,"456,"
Benin,Female,343,"343,"
Benin,Male,454,"454,"
Botswana,Female,45,"45,"
Botswana,Male,65,"65,"
Burkina Faso,Female,87,"87,"
Burkina Faso,Male,87,"87,"
Burundi,Female,54,"54,"
Burundi,Male,54,"54,"
Cabo Verde,Female,67,"67,"
Cabo Verde,Male,76,"76,"
Cameroon,Female,87,"87,"
Cameroon,Male,63,"63,"
Central African Republic,Female,68,"68,"
Central African Republic,Male,67,"67,"
Chad,Female,87,"87,"
Chad,Male,54,"54,"
Comoros,Female,43,"43,"
Comoros,Male,36,"36,"
Congo,Female,23,"23,"
Congo,Male,85,"85,"
Cote d'Ivoire,Female,24,"24,"
Cote d'Ivoire,Male,75,"75,"
Democratic Republic of the Congo,Female,43,"43,"
Democratic Republic of the Congo,Male,75,"75,"
Djibouti,Female,34,"34,"
Djibouti,Male,75,"75,"
Egypt,Female,4667,"4667,"
Egypt,Male,7554,"7554,"
Equatorial Guinea,Female,34,"34,"
Equatorial Guinea,Male,87,"87,"
Eritrea,Female,34,"34,"
Eritrea,Male,43,"43,"
Eswatini,Female,23,"23,"
Eswatini,Male,30,"30,"
Ethiopia,Female,77,"77,"
Ethiopia,Male,43,"43,"
Gabon,Female,55,"55,"
Gabon,Male,56,"56,"
Gambia,Female,32,"32,"
Gambia,Male,34,"34,"
Ghana,Female,355,"355,"
Ghana,Male,434,"434,"
Guinea,Female,32,"32,"
Guinea,Male,66,"66,"
Guinea-Bissau,Female,76,"76,"
Guinea-Bissau,Male,67,"67,"
Kenya,Female,76,"76,"
Kenya,Male,65,"65,"
Lesotho,Female,65,"65,"
Lesotho,Male,45,"45,"
Liberia,Female,32,"32,"
Liberia,Male,34,"34,"
Libya,Female,466,"466,"
Libya,Male,776,"776,"
Madagascar,Female,65,"65,"
Madagascar,Male,35,"35,"
Malawi,Female,43,"43,"
Malawi,Male,43,"43,"
Mali,Female,75,"75,"
Mali,Male,109,"109,"
Mauritania,Female,34,"34,"
Mauritania,Male,34,"34,"
Mauritius,Female,54,"54,"
Mauritius,Male,25,"25,"
Mayotte,Female,22,"22,"
Mayotte,Male,23,"23,"
Morocco,Female,565,"565,"
Morocco,Male,876,"876,"
Mozambique,Female,54,"54,"
Mozambique,Male,34,"34,"
Namibia,Female,21,"21,"
Namibia,Male,45,"45,"
Niger,Female,567,"567,"
Niger,Male,987,"987,"
Nigeria,Female,7675,"7675,"
Nigeria,Male,9877,"9877,"
Reunion,Female,32,"32,"
Reunion,Male,34,"34,"
Rwanda,Female,566,"566,"
Rwanda,Male,566,"566,"
Saint Helena,Female,4,"4,"
Saint Helena,Male,6,"6,"
Sao Tome and Principe,Female,7,"7,"
Sao Tome and Principe,Male,7,"7,"
Senegal,Female,34,"34,"
Senegal,Male,87,"87,"
Seychelles,Female,1,"1,"
Seychelles,Male,8,"8,"
Sierra Leone,Female,43,"43,"
Sierra Leone,Male,44,"44,"
Somalia,Female,6543,"6543,"
Somalia,Male,8787,"8787,"
South Africa,Female,4545,"4545,"
South Africa,Male,7677,"7677,"
South Sudan,Female,456,"456,"
South Sudan,Male,987,"987,"
Sudan,Female,765,"765,"
Sudan,Male,876,"876,"
Togo,Female,65,"65,"
Togo,Male,54,"54,"
Tunisia,Female,43,"43,"
Tunisia,Male,65,"65,"
Uganda,Female,600,"600,"
Uganda,Male,566,"566,"
United Republic of Tanzania,Female,550,"550,"
United Republic of Tanzania,Male,666,"666,"
Western Sahara,Female,45,"45,"
Western Sahara,Male,97,"97,"
Zambia,Female,97,"97,"
Zambia,Male,76,"76,"
Zimbabwe,Female,56,"56,"
Zimbabwe,Male,87,"87,"
