Country,Sex,2011
Algeria,Female,4444
Algeria,Male,4456
Angola,Female,455
Angola,Male,545
Benin,Female,344
Benin,Male,334
Botswana,Female,45
Botswana,Male,56
Burkina Faso,Female,76
Burkina Faso,Male,76
Burundi,Female,76
Burundi,Male,67
Cabo Verde,Female,67
Cabo Verde,Male,76
Cameroon,Female,66
Cameroon,Male,76
Central African Republic,Female,76
Central African Republic,Male,67
Chad,Female,76
Chad,Male,76
Comoros,Female,67
Comoros,Male,76
Congo,Female,23
Congo,Male,21
Cote d'Ivoire,Female,24
Cote d'Ivoire,Male,54
Democratic Republic of the Congo,Female,32
Democratic Republic of the Congo,Male,21
Djibouti,Female,23
Djibouti,Male,34
Egypt,Female,2334
Egypt,Male,5466
Equatorial Guinea,Female,34
Equatorial Guinea,Male,87
Eritrea,Female,34
Eritrea,Male,35
Eswatini,Female,23
Eswatini,Male,30
Ethiopia,Female,23
Ethiopia,Male,45
Gabon,Female,55
Gabon,Male,56
Gambia,Female,32
Gambia,Male,34
Ghana,Female,123
Ghana,Male,65
Guinea,Female,32
Guinea,Male,55
Guinea-Bissau,Female,21
Guinea-Bissau,Male,23
Kenya,Female,43
Kenya,Male,90
Lesotho,Female,43
Lesotho,Male,45
Liberia,Female,32
Liberia,Male,34
Libya,Female,32
Libya,Male,34
Madagascar,Female,56
Madagascar,Male,56
Malawi,Female,45
Malawi,Male,65
Mali,Female,43
Mali,Male,54
Mauritania,Female,43
Mauritania,Male,32
Mauritius,Female,21
Mauritius,Male,25
Mayotte,Female,22
Mayotte,Male,23
Morocco,Female,565
Morocco,Male,577
Mozambique,Female,21
Mozambique,Male,34
Namibia,Female,21
Namibia,Male,45
Niger,Female,230
Niger,Male,301
Nigeria,Female,6777
Nigeria,Male,10980
Reunion,Female,32
Reunion,Male,34
Rwanda,Female,25
Rwanda,Male,67
Saint Helena,Female,4
Saint Helena,Male,6
Sao Tome and Principe,Female,0
Sao Tome and Principe,Male,0
Senegal,Female,34
Senegal,Male,54
Seychelles,Female,1
Seychelles,Male,8
Sierra Leone,Female,43
Sierra Leone,Male,44
Somalia,Female,6543
Somalia,Male,8767
South Africa,Female,4545
South Africa,Male,7677
South Sudan,Female,456
South Sudan,Male,987
Sudan,Female,765
Sudan,Male,876
Togo,Female,65
Togo,Male,54
Tunisia,Female,43
Tunisia,Male,65
Uganda,Female,600
Uganda,Male,566
United Republic of Tanzania,Female,550
United Republic of Tanzania,Male,666
Western Sahara,Female,32
Western Sahara,Male,44
Zambia,Female,43
Zambia,Male,65
Zimbabwe,Female,54
Zimbabwe,Male,65
