Country,Sex,2019,"2019,"
Algeria,Female,5332,"5332,"
Algeria,Male,5321,"5321,"
Angola,Female,244,"244,"
Angola,Male,532,"532,"
Benin,Female,24,"24,"
Benin,Male,53,"53,"
Botswana,Female,43,"43,"
Botswana,Male,34,"34,"
Burkina Faso,Female,34,"34,"
Burkina Faso,Male,45,"45,"
Burundi,Female,65,"65,"
Burundi,Male,43,"43,"
Cabo Verde,Female,32,"32,"
Cabo Verde,Male,33,"33,"
Cameroon,Female,56,"56,"
Cameroon,Male,67,"67,"
Central African Republic,Female,23,"23,"
Central African Republic,Male,23,"23,"
Chad,Female,14,"14,"
Chad,Male,2,"2,"
Comoros,Female,12,"12,"
Comoros,Male,23,"23,"
Congo,Female,23,"23,"
Congo,Male,21,"21,"
Cote d'Ivoire,Female,24,"24,"
Cote d'Ivoire,Male,54,"54,"
Democratic Republic of the Congo,Female,32,"32,"
Democratic Republic of the Congo,Male,21,"21,"
Djibouti,Female,23,"23,"
Djibouti,Male,34,"34,"
Egypt,Female,5732,"5732,"
Egypt,Male,7844,"7844,"
Equatorial Guinea,Female,34,"34,"
Equatorial Guinea,Male,87,"87,"
Eritrea,Female,34,"34,"
Eritrea,Male,35,"35,"
Eswatini,Female,23,"23,"
Eswatini,Male,30,"30,"
Ethiopia,Female,23,"23,"
Ethiopia,Male,45,"45,"
Gabon,Female,43,"43,"
Gabon,Male,46,"46,"
Gambia,Female,32,"32,"
Gambia,Male,76,"76,"
Ghana,Female,245,"245,"
Ghana,Male,344,"344,"
Guinea,Female,46,"46,"
Guinea,Male,64,"64,"
Guinea-Bissau,Female,21,"21,"
Guinea-Bissau,Male,23,"23,"
Kenya,Female,43,"43,"
Kenya,Male,64,"64,"
Lesotho,Female,43,"43,"
Lesotho,Male,45,"45,"
Liberia,Female,32,"32,"
Liberia,Male,34,"34,"
Libya,Female,32,"32,"
Libya,Male,34,"34,"
Madagascar,Female,3,"3,"
Madagascar,Male,5,"5,"
Malawi,Female,64,"64,"
Malawi,Male,64,"64,"
Mali,Female,53,"53,"
Mali,Male,74,"74,"
Mauritania,Female,43,"43,"
Mauritania,Male,74,"74,"
Mauritius,Female,21,"21,"
Mauritius,Male,75,"75,"
Mayotte,Female,22,"22,"
Mayotte,Male,75,"75,"
Morocco,Female,467,"467,"
Morocco,Male,755,"755,"
Mozambique,Female,21,"21,"
Mozambique,Male,34,"34,"
Namibia,Female,21,"21,"
Namibia,Male,45,"45,"
Niger,Female,230,"230,"
Niger,Male,301,"301,"
Nigeria,Female,7865,"7865,"
Nigeria,Male,10980,"10980,"
Reunion,Female,32,"32,"
Reunion,Male,34,"34,"
Rwanda,Female,25,"25,"
Rwanda,Male,67,"67,"
Saint Helena,Female,4,"4,"
Saint Helena,Male,6,"6,"
Sao Tome and Principe,Female,0,"0,"
Sao Tome and Principe,Male,0,"0,"
Senegal,Female,34,"34,"
Senegal,Male,54,"54,"
Seychelles,Female,1,"1,"
Seychelles,Male,8,"8,"
Sierra Leone,Female,43,"43,"
Sierra Leone,Male,44,"44,"
Somalia,Female,6543,"6543,"
Somalia,Male,9876,"9876,"
South Africa,Female,2742,"2742,"
South Africa,Male,10151,"10151,"
South Sudan,Female,456,"456,"
South Sudan,Male,987,"987,"
Sudan,Female,765,"765,"
Sudan,Male,876,"876,"
Togo,Female,65,"65,"
Togo,Male,54,"54,"
Tunisia,Female,43,"43,"
Tunisia,Male,65,"65,"
Uganda,Female,600,"600,"
Uganda,Male,2560,"2560,"
United Republic of Tanzania,Female,550,"550,"
United Republic of Tanzania,Male,624,"624,"
Western Sahara,Female,32,"32,"
Western Sahara,Male,44,"44,"
Zambia,Female,43,"43,"
Zambia,Male,65,"65,"
Zimbabwe,Female,54,"54,"
Zimbabwe,Male,65,"65,"
