Country,Sex,2018,"2018,"
Algeria,Female,3553,"3553,"
Algeria,Male,4633,"4633,"
Angola,Female,643,"643,"
Angola,Male,645,"645,"
Benin,Female,564,"564,"
Benin,Male,754,"754,"
Botswana,Female,64,"64,"
Botswana,Male,75,"75,"
Burkina Faso,Female,34,"34,"
Burkina Faso,Male,86,"86,"
Burundi,Female,47,"47,"
Burundi,Male,86,"86,"
Cabo Verde,Female,64,"64,"
Cabo Verde,Male,76,"76,"
Cameroon,Female,35,"35,"
Cameroon,Male,86,"86,"
Central African Republic,Female,46,"46,"
Central African Republic,Male,86,"86,"
Chad,Female,35,"35,"
Chad,Male,76,"76,"
Comoros,Female,34,"34,"
Comoros,Male,85,"85,"
Congo,Female,75,"75,"
Congo,Male,134,"134,"
Cote d'Ivoire,Female,57,"57,"
Cote d'Ivoire,Male,75,"75,"
Democratic Republic of the Congo,Female,75,"75,"
Democratic Republic of the Congo,Male,75,"75,"
Djibouti,Female,93,"93,"
Djibouti,Male,87,"87,"
Egypt,Female,4556,"4556,"
Egypt,Male,5554,"5554,"
Equatorial Guinea,Female,45,"45,"
Equatorial Guinea,Male,64,"64,"
Eritrea,Female,64,"64,"
Eritrea,Male,67,"67,"
Eswatini,Female,46,"46,"
Eswatini,Male,57,"57,"
Ethiopia,Female,75,"75,"
Ethiopia,Male,75,"75,"
Gabon,Female,85,"85,"
Gabon,Male,47,"47,"
Gambia,Female,75,"75,"
Gambia,Male,75,"75,"
Ghana,Female,74,"74,"
Ghana,Male,746,"746,"
Guinea,Female,75,"75,"
Guinea,Male,47,"47,"
Guinea-Bissau,Female,75,"75,"
Guinea-Bissau,Male,85,"85,"
Kenya,Female,85,"85,"
Kenya,Male,85,"85,"
Lesotho,Female,58,"58,"
Lesotho,Male,85,"85,"
Liberia,Female,35,"35,"
Liberia,Male,53,"53,"
Libya,Female,532,"532,"
Libya,Male,567,"567,"
Madagascar,Female,65,"65,"
Madagascar,Male,54,"54,"
Malawi,Female,36,"36,"
Malawi,Male,45,"45,"
Mali,Female,54,"54,"
Mali,Male,65,"65,"
Mauritania,Female,46,"46,"
Mauritania,Male,65,"65,"
Mauritius,Female,64,"64,"
Mauritius,Male,65,"65,"
Mayotte,Female,35,"35,"
Mayotte,Male,65,"65,"
Morocco,Female,465,"465,"
Morocco,Male,643,"643,"
Mozambique,Female,64,"64,"
Mozambique,Male,64,"64,"
Namibia,Female,63,"63,"
Namibia,Male,63,"63,"
Niger,Female,564,"564,"
Niger,Male,635,"635,"
Nigeria,Female,6544,"6544,"
Nigeria,Male,9943,"9943,"
Reunion,Female,32,"32,"
Reunion,Male,34,"34,"
Rwanda,Female,536,"536,"
Rwanda,Male,654,"654,"
Saint Helena,Female,3,"3,"
Saint Helena,Male,6,"6,"
Sao Tome and Principe,Female,4,"4,"
Sao Tome and Principe,Male,6,"6,"
Senegal,Female,35,"35,"
Senegal,Male,64,"64,"
Seychelles,Female,6,"6,"
Seychelles,Male,4,"4,"
Sierra Leone,Female,64,"64,"
Sierra Leone,Male,76,"76,"
Somalia,Female,3366,"3366,"
Somalia,Male,7543,"7543,"
South Africa,Female,3646,"3646,"
South Africa,Male,7543,"7543,"
South Sudan,Female,456,"456,"
South Sudan,Male,643,"643,"
Sudan,Female,643,"643,"
Sudan,Male,754,"754,"
Togo,Female,46,"46,"
Togo,Male,64,"64,"
Tunisia,Female,35,"35,"
Tunisia,Male,63,"63,"
Uganda,Female,64,"64,"
Uganda,Male,75,"75,"
United Republic of Tanzania,Female,366,"366,"
United Republic of Tanzania,Male,764,"764,"
Western Sahara,Female,35,"35,"
Western Sahara,Male,64,"64,"
Zambia,Female,46,"46,"
Zambia,Male,64,"64,"
Zimbabwe,Female,53,"53,"
Zimbabwe,Male,57,"57,"
