Country,Sex,2014,"2014,"
Algeria,Female,4323,"4323,"
Algeria,Male,6565,"6565,"
Angola,Female,565,"565,"
Angola,Male,767,"767,"
Benin,Female,545,"545,"
Benin,Male,436,"436,"
Botswana,Female,45,"45,"
Botswana,Male,56,"56,"
Burkina Faso,Female,45,"45,"
Burkina Faso,Male,35,"35,"
Burundi,Female,47,"47,"
Burundi,Male,57,"57,"
Cabo Verde,Female,83,"83,"
Cabo Verde,Male,48,"48,"
Cameroon,Female,38,"38,"
Cameroon,Male,38,"38,"
Central African Republic,Female,39,"39,"
Central African Republic,Male,94,"94,"
Chad,Female,38,"38,"
Chad,Male,54,"54,"
Comoros,Female,34,"34,"
Comoros,Male,36,"36,"
Congo,Female,23,"23,"
Congo,Male,85,"85,"
Cote d'Ivoire,Female,46,"46,"
Cote d'Ivoire,Male,76,"76,"
Democratic Republic of the Congo,Female,66,"66,"
Democratic Republic of the Congo,Male,75,"75,"
Djibouti,Female,64,"64,"
Djibouti,Male,75,"75,"
Egypt,Female,5453,"5453,"
Egypt,Male,5666,"5666,"
Equatorial Guinea,Female,44,"44,"
Equatorial Guinea,Male,87,"87,"
Eritrea,Female,34,"34,"
Eritrea,Male,43,"43,"
Eswatini,Female,23,"23,"
Eswatini,Male,30,"30,"
Ethiopia,Female,43,"43,"
Ethiopia,Male,43,"43,"
Gabon,Female,34,"34,"
Gabon,Male,56,"56,"
Gambia,Female,32,"32,"
Gambia,Male,46,"46,"
Ghana,Female,355,"355,"
Ghana,Male,644,"644,"
Guinea,Female,32,"32,"
Guinea,Male,46,"46,"
Guinea-Bissau,Female,76,"76,"
Guinea-Bissau,Male,45,"45,"
Kenya,Female,64,"64,"
Kenya,Male,65,"65,"
Lesotho,Female,65,"65,"
Lesotho,Male,45,"45,"
Liberia,Female,45,"45,"
Liberia,Male,43,"43,"
Libya,Female,433,"433,"
Libya,Male,654,"654,"
Madagascar,Female,65,"65,"
Madagascar,Male,54,"54,"
Malawi,Female,43,"43,"
Malawi,Male,43,"43,"
Mali,Female,54,"54,"
Mali,Male,98,"98,"
Mauritania,Female,34,"34,"
Mauritania,Male,34,"34,"
Mauritius,Female,54,"54,"
Mauritius,Male,25,"25,"
Mayotte,Female,22,"22,"
Mayotte,Male,23,"23,"
Morocco,Female,344,"344,"
Morocco,Male,856,"856,"
Mozambique,Female,54,"54,"
Mozambique,Male,34,"34,"
Namibia,Female,21,"21,"
Namibia,Male,45,"45,"
Niger,Female,567,"567,"
Niger,Male,987,"987,"
Nigeria,Female,5466,"5466,"
Nigeria,Male,8676,"8676,"
Reunion,Female,32,"32,"
Reunion,Male,34,"34,"
Rwanda,Female,566,"566,"
Rwanda,Male,566,"566,"
Saint Helena,Female,4,"4,"
Saint Helena,Male,6,"6,"
Sao Tome and Principe,Female,7,"7,"
Sao Tome and Principe,Male,7,"7,"
Senegal,Female,46,"46,"
Senegal,Male,65,"65,"
Seychelles,Female,1,"1,"
Seychelles,Male,6,"6,"
Sierra Leone,Female,43,"43,"
Sierra Leone,Male,46,"46,"
Somalia,Female,6543,"6543,"
Somalia,Male,7665,"7665,"
South Africa,Female,5666,"5666,"
South Africa,Male,7677,"7677,"
South Sudan,Female,456,"456,"
South Sudan,Male,676,"676,"
Sudan,Female,786,"786,"
Sudan,Male,876,"876,"
Togo,Female,65,"65,"
Togo,Male,54,"54,"
Tunisia,Female,68,"68,"
Tunisia,Male,65,"65,"
Uganda,Female,76,"76,"
Uganda,Male,566,"566,"
United Republic of Tanzania,Female,577,"577,"
United Republic of Tanzania,Male,876,"876,"
Western Sahara,Female,45,"45,"
Western Sahara,Male,97,"97,"
Zambia,Female,97,"97,"
Zambia,Male,76,"76,"
Zimbabwe,Female,75,"75,"
Zimbabwe,Male,57,"57,"
