Country,Sex,2016,"2016,"
Algeria,Female,2424,"2424,"
Algeria,Male,4555,"4555,"
Angola,Female,422,"422,"
Angola,Male,746,"746,"
Benin,Female,323,"323,"
Benin,Male,644,"644,"
Botswana,Female,64,"64,"
Botswana,Male,85,"85,"
Burkina Faso,Female,36,"36,"
Burkina Faso,Male,64,"64,"
Burundi,Female,47,"47,"
Burundi,Male,64,"64,"
Cabo Verde,Female,64,"64,"
Cabo Verde,Male,66,"66,"
Cameroon,Female,46,"46,"
Cameroon,Male,75,"75,"
Central African Republic,Female,46,"46,"
Central African Republic,Male,75,"75,"
Chad,Female,38,"38,"
Chad,Male,47,"47,"
Comoros,Female,34,"34,"
Comoros,Male,75,"75,"
Congo,Female,75,"75,"
Congo,Male,134,"134,"
Cote d'Ivoire,Female,46,"46,"
Cote d'Ivoire,Male,75,"75,"
Democratic Republic of the Congo,Female,66,"66,"
Democratic Republic of the Congo,Male,74,"74,"
Djibouti,Female,93,"93,"
Djibouti,Male,98,"98,"
Egypt,Female,3566,"3566,"
Egypt,Male,7556,"7556,"
Equatorial Guinea,Female,35,"35,"
Equatorial Guinea,Male,75,"75,"
Eritrea,Female,46,"46,"
Eritrea,Male,75,"75,"
Eswatini,Female,46,"46,"
Eswatini,Male,64,"64,"
Ethiopia,Female,75,"75,"
Ethiopia,Male,75,"75,"
Gabon,Female,34,"34,"
Gabon,Male,75,"75,"
Gambia,Female,75,"75,"
Gambia,Male,85,"85,"
Ghana,Female,343,"343,"
Ghana,Male,432,"432,"
Guinea,Female,32,"32,"
Guinea,Male,53,"53,"
Guinea-Bissau,Female,35,"35,"
Guinea-Bissau,Male,53,"53,"
Kenya,Female,64,"64,"
Kenya,Male,75,"75,"
Lesotho,Female,65,"65,"
Lesotho,Male,75,"75,"
Liberia,Female,46,"46,"
Liberia,Male,43,"43,"
Libya,Female,466,"466,"
Libya,Male,755,"755,"
Madagascar,Female,65,"65,"
Madagascar,Male,54,"54,"
Malawi,Female,43,"43,"
Malawi,Male,43,"43,"
Mali,Female,54,"54,"
Mali,Male,98,"98,"
Mauritania,Female,46,"46,"
Mauritania,Male,34,"34,"
Mauritius,Female,64,"64,"
Mauritius,Male,68,"68,"
Mayotte,Female,35,"35,"
Mayotte,Male,55,"55,"
Morocco,Female,555,"555,"
Morocco,Male,566,"566,"
Mozambique,Female,54,"54,"
Mozambique,Male,64,"64,"
Namibia,Female,21,"21,"
Namibia,Male,45,"45,"
Niger,Female,356,"356,"
Niger,Male,646,"646,"
Nigeria,Female,5678,"5678,"
Nigeria,Male,6466,"6466,"
Reunion,Female,32,"32,"
Reunion,Male,34,"34,"
Rwanda,Female,566,"566,"
Rwanda,Male,654,"654,"
Saint Helena,Female,4,"4,"
Saint Helena,Male,6,"6,"
Sao Tome and Principe,Female,7,"7,"
Sao Tome and Principe,Male,5,"5,"
Senegal,Female,35,"35,"
Senegal,Male,63,"63,"
Seychelles,Female,4,"4,"
Seychelles,Male,6,"6,"
Sierra Leone,Female,43,"43,"
Sierra Leone,Male,46,"46,"
Somalia,Female,3566,"3566,"
Somalia,Male,5646,"5646,"
South Africa,Female,3566,"3566,"
South Africa,Male,6466,"6466,"
South Sudan,Female,456,"456,"
South Sudan,Male,466,"466,"
Sudan,Female,786,"786,"
Sudan,Male,756,"756,"
Togo,Female,65,"65,"
Togo,Male,75,"75,"
Tunisia,Female,68,"68,"
Tunisia,Male,65,"65,"
Uganda,Female,46,"46,"
Uganda,Male,66,"66,"
United Republic of Tanzania,Female,577,"577,"
United Republic of Tanzania,Male,876,"876,"
Western Sahara,Female,65,"65,"
Western Sahara,Male,67,"67,"
Zambia,Female,64,"64,"
Zambia,Male,64,"64,"
Zimbabwe,Female,75,"75,"
Zimbabwe,Male,57,"57,"
